inputName,size,a[size][size],b[size][size]
values_79,6,"[[-3473197187352990969, -5443083147319587792, -6698860403485297906, -1548633627117377554, -3920568365509933501, 1237647316533698523],[6921733743643015948, 4635508463232196715, 6894998817780338816, -1497453853543162350, 9083236261424653512, 7714716897839668937],[-1049560512848903047, -2248763433613171769, 154669889264421446, 7776123787020049625, 5571202170745418278, -3813877112800296387],[-6531455295296932895, -8348539202612444748, -3464320857109136586, 6776512854334014271, 4153957300354883994, -4939078330786461172],[-6962797111330428788, -8882873823044219323, -6843053449163448232, -5491526277920949414, 336752419284175508, 3062413710433406078],[3696302337991658174, 7362157199044928059, -8098602044751960190, 9134054015864316885, -7792652947576307912, -7138295495287589941]]","[[-627128762735646244, 7254347303828805977, -1292503529213361164, 2866514338747316163, 1165128144615228304, -5559485288213108012],[8963280848622547199, -4178879713737090872, -1536909224407891410, -8629244199277268270, -7216112182073467697, 4652419251142879348],[2491794229729709516, 6705028980512821052, -1020594853913827484, -401296899423226189, 4403231427466834044, 3319436709314621972],[7355394385374892554, -3024189985522626424, 5781742228360733500, -2749094850369073035, 1524282345328822483, -8262361191615999435],[5077439859329479300, -6876570315259285329, -5300176536417539858, 2384831276230093461, -605304307727558001, 1783918289334791158],[2384630674259333716, -449716741012944212, -5292491003815159653, -3376125018496094885, 368086075180869739, 3226733490814169267]]"
values_78,8,"[[4566973251145116138, 1833163727226742051, 5921985705345552900, 625174625306782985, -1790011585299283952, -8449096080870845874, -4047615224499107695, -8842354595795528156],[8357874310597372315, -328464116004571613, -8103375981610129514, 8754155067441600501, -1131712799159845, -4348424543235059878, -949529253111880969, -4389606217855188594],[-3246585654603421957, -2623773351389231892, 2726242413409444860, -6177855543979407004, -45257445071740945, -2390017846362636157, -831603362079717140, 3699938607829306956],[-1683901539347213920, 1487453644430097847, 5723566941761597571, 8311317342148842763, 609335589044568875, -8990510449150764225, 8362299776472640540, 5887489194339420333],[4422183199913209778, -820727850281807767, 3156994468322997420, -8842827557143433719, -6044898474176229932, -7621191148778205069, -121302305254864957, -4857391457265269],[5087541377281519632, 9062518977394462876, -3325835155971110176, -6143920128903804890, 734909807700254443, -2572397569272110336, 6953600477524461981, 1033850525459054411],[1508881542951215505, -5847204621917862315, -1892544786183620334, 1448592710491542178, 5038491465236764714, -571296973523607086, 8118973139139984283, -6449881778863691874],[-7283477447713635774, 1258943153920063986, 3678598020437745709, 8010112608100037033, -1819015205184284808, -8977327873439261306, 7886996952882390712, 7810675131921036131]]","[[5102215786648430402, -6687012657775692392, 1108152617308247653, 95376382734947270, 5372076331266008582, 2451580599553728883, -4113881780637572376, -5965138003908629759],[6188436701748690286, -9111090863093323868, -6869490076603504615, -1008833991262061095, -7706353002902921010, 2905340612986719754, 2788498175578243568, 9136925188756634658],[1454803627197324715, -807740375721333360, -3039171826106966625, 88035028335690685, 6334821712551231321, 1340371371484763829, 2586355652473443566, -7584418057006057344],[-4728289977970925128, -8598054783402815602, 2193726384203239180, -6486096393998263925, 6152772022544098476, -7502988230570238021, 4049193005102866084, -3423115670382566055],[8421101866103237961, 1196181733590428872, -1271561837582760615, 2757408011286756487, -1016661176191444609, -7601019133146300191, -3952628838579606967, -4039215461727549849],[-4025557483330901840, 1666554890589151027, 5364533887398968513, -7947060868278114614, -553935214901713796, 3607645264145541802, -5639618165451586993, 7413090347582716755],[-4586915011681358766, 2820217857684432389, -5733204966681026461, 4039512094130959749, -8314645226028220723, -1424719349023899572, 646588092863775391, 3251256398555691462],[-2584174085306110398, -7725479329054460395, -1212198970964016212, 7873470792897574081, -2270985357040316539, -8987490984085291121, -6718989428109816114, -5470804235069661235]]"
values_87,6,"[[-8636491867360128148, -4762993960960290100, -6582421641424574437, 6667522344182636064, 6847828575960632193, -3308974242433872088],[1007637010728121571, -884822390200644026, 4364585744677278755, 3198113348712436191, -662406199553236512, -4165916676847903363],[-2487222908801640429, 4473828161333661270, 7795375759789352572, 7493448409530226086, -7145778320528316427, 1323855412166449019],[-8516631742142823348, 4401376685348242093, 7463669229708309079, -8364410735612943192, -7295628762291351086, -158554415474273587],[6281973634218824076, 4076590282668779904, -8770372411472381400, -4032964541215010009, -9173052833114726614, -7032445234673858329],[-3138010189788682572, -5023423185362944297, 2546464173418957319, 1571304109021100890, -7978958096453350461, -1715047413543677131]]","[[-8757127317404742109, 3461414553632414403, 4106518384394355286, -4076311385773690915, 4184834167169534790, -598367496476674477],[2472192380293937271, 9129392635999977418, -4198601954552841796, -7182680582085573333, -3635578381235565180, 804009031852063753],[-8936973039108069780, 210478321042669204, -1914846371308677237, -1513302623915149117, -498427707799968271, -2448477567166125785],[-3086562375349594157, -1530929064928222072, 3249443640168513507, 3895460201957596090, -324182505512568252, 3371073765831086037],[-7248878238538680640, -5683841535129324823, -60918953894494666, 8776605767668628892, -8741391639650390391, -7444985681906653600],[7808136404022751945, -7268977154594645235, -4389054781396420722, 2841324758968396260, 7919867968269846335, 6841559460524262375]]"
values_6,3,"[[-8513969070130261850, 6638538825180727289, -6902400814635100389],[8273573959034133675, 1226008307272563458, 1611793069852452625],[1073037110089091720, 1845776583282259243, 7625205188566752935]]","[[3728643179729295709, -7757450128914547647, -3713057540028632783],[5674102213537453637, 3525832279342488861, 7955953406289421339],[-7166155955113757854, -7297494134001713244, 1645816677395218809]]"
values_68,6,"[[2988685069777134075, -5248396701138823211, -6489924153493449050, -82822032252950856, 5485487008503948104, -3725549392881468191],[6435549005090279772, -614741202895238969, -5539375249035314957, 7967214505727369339, 2608043089050581724, -5582923928621433547],[-2361357368547600994, -7378750061899109510, 6429526397838167217, -8191381797712472620, -9196873844824324411, -8938966837468535489],[-2468199002608935530, -7327014545885738078, -443245811156720994, 5293041385976615809, 4591534000971234936, -6899823057874726824],[-5580107939114808392, 8088695424594886904, 4670556377559994615, -6829411414186117560, -1799909093974141776, -7178742536432550860],[7148987745456681411, 4222623634822902336, 7955941618568763104, -269436928613090659, -5118346467777291421, -2514670280428702234]]","[[334257335858305790, -5463134944113461594, 5745697517026905838, -8811751615929257157, -1478277180951069764, 8629486071212954173],[-1879468574997710434, 8944531718655732939, 2175187429008383570, 1815125245811740065, 4717998195515239908, -2243331215612439071],[-2470129376259886707, 3941631812285028999, 2779019446822792856, -4653207666820882208, -7583865957550705073, 6907313062506853538],[4370205244302397619, -8492726862250872073, 8141827324911766600, 6146409327443982016, -6036196403840855931, -106900701445773748],[-5423987534005583788, 7571648326818938877, 3618227548579028218, -2900566624353012163, 8935060478731632927, -1371288488473112936],[1118435242487742255, 8340529319087695809, 7460287998071925007, 8402779274978730722, -9134458908319663752, 363225427590966555]]"
values_69,8,"[[1660319465941613863, -7898495937067660775, 9087363162978307417, 524465277519179770, 5349190318913585821, 1889154677871225989, 8348243964113493525, -2191902818052451202],[2912675404248638137, -1412048612301160159, 4147563372480275973, 647190788661059016, 7185143467255184018, -8300289789749893845, 5195501322358160682, -6858862206697789842],[-2222164382183691838, -3551728150153682318, 1231250319543480730, -6907315813892826476, -5334668469543880992, 173477972595888058, -7230548843590825201, -3788698089389889577],[4344037802849999819, -4205023136434160562, 4853797817105745423, 8589834633697442995, -1986801024167626791, -8628337459467040066, 7474773971118705655, -508239233286424900],[-5224136343051422592, -5120654697246170288, -6517510166086081071, -2611599052734820404, 5673923924050495337, 2759591255776453787, 8131233613326085631, 1151739868054231607],[1315283756794243233, 7778312685426372142, -2061527993343234966, 3386176893724599604, 596680212794167961, -8304347235732652084, -8995918159893651398, 2418059590697276443],[4074906263623558047, -8980822110513727259, -8535575487010487925, 2583145015819977950, 3789645260758093145, 852201687196734850, -6906539050985350273, 6386532804576285915],[-8385173917262705390, -6713541085784982439, 4130715749449082019, 6169276287561501611, -7448699020380907146, -8831731770312306812, 1042784116260519672, -5112558757561493572]]","[[420603618057970091, -2828788446005881560, -5423999157598204065, 2163123019186316717, 6851644551169618446, -1063915758791674252, -8355513375843621740, 5843841334591842037],[7322760903981871092, -1324808828866390316, 4655477886409837054, -5984875049479693720, -5333041995492352335, -2622432362829207063, -4350491286216519304, 8271697318159436731],[-6968690481530757962, -5125506517811729351, -622347528709102788, -1891417167864489353, -7479728544119368603, 5386007341171768663, -6677195362318963410, -7805761781435547561],[3626119004977129026, -2397211714047084250, -7408754731716198340, -6740165254637855084, 5118489999175059927, -6399560119474397507, -2409245019777857051, -5381460765077996493],[9193064453274632872, 5535242976650195181, 8713897841813519403, -9090955353213318390, 289147785637600840, -5962591281717639409, -6143624670005175589, -2786878872322950728],[-4455530278361255517, -4340309971095062282, -8715385463415789860, 2446110636440460535, -7777383243768243808, -4894145818345375592, 1492853907028570094, -5062183249964106710],[1673308487116158528, 9003551260442776965, 4506811956748435208, -6926786677680406880, -4513562305592732367, 2296652131369470899, 4526228829020023938, 42537107578525253],[-2091222572012696243, 5344739171087509475, 4531761439226773523, -3939791956112288955, -6616055622238447901, -7947862592537707867, -3277945242174970857, -7933407969943901267]]"
values_1,6,"[[-5073599791799246524, -792979825383631031, -7434704761475455459, 1706659778339742261, 5492979964171415719, 5779486744770208103],[6906560265368805117, 8012367128079132408, -6517265006874234991, -9032723583362999061, -2356430101588806315, 1740528655587518042],[6978660920347974409, 7919024741130748354, 2786537778002004288, -5384316651934962298, -7323419401929388471, 7703625912480208309],[9206554877153011306, -7904269391222386121, 8504831545903744925, 7475380700353134022, 717510084868784259, -1894309991687340943],[7904045034607582993, 6053381856522162951, 7214345241737273549, 1487119527082120818, -1788039166329764574, 8075444057226016577],[8238406746222377729, -2629902130691276817, -14028054889189371, 6296207802613510037, -3492392973097745114, 1505663505804329625]]","[[-2350838567972650381, 2003104621000227007, 2722416543323488532, -5348656441846282465, 5646813717268895461, -6302486471624765283],[-2558085277209821665, 4649046114525432699, -5686338264256268596, -1097912782665572582, -5655043598303933742, 6060665410158356518],[-2184206163173965286, 2152257241407965188, 4936610189729618841, -4110087339829743296, -1852422748734975417, 8104279390368168326],[-4394983412961776094, -4172671343603375749, 4749526807763868849, -7913941735093482754, -1077714425790580901, 588975565691162918],[2666006166938543131, -3037570504624292556, -6579416779843968984, 2118739686498242710, 4257058539039321341, -1167751403172850976],[3312466355530092810, -8944765684879845881, -4902369008438282900, -7278699274576781417, 4951452525077150106, 6461875954777648337]]"
values_45,4,"[[1854939250350677893, 7669300137659595995, 1250618613673300768, -6125263720122209857],[-8706119484734390701, -1051204601190824416, 1482352578397787589, -3360618187918485158],[8842272700264213393, 488378029937530394, -369115549130566121, -6839315679258274291],[-3948866905476168682, 550904586988153433, -511678322701005585, -6327168671551544693]]","[[6685986665865948161, 4660037053342173672, 9046858279904869504, 2327456664675138346],[-139326182887276675, 8063299086866068256, 6784399580317092627, 1176119440643379070],[-8400662593983972966, 9072710511251034319, 7252297074689980130, -7296870387171450288],[-3905119534917526506, 8231645504554955482, 7841802740270432201, -5466634607010908283]]"
values_33,2,"[[4463253389271425335, 2956218573695740398],[-7432446272666327883, -3875631315859533140]]","[[-4775716676861956981, 6062595372312255420],[8410538140390847439, 8856198557254138059]]"
values_15,5,"[[-8489725869748724062, -2737515358358457521, -5487066199582200174, 8997975066942897160, 1219774071931109641],[3382919892802406089, -2128594625978122983, 3889140561620581438, 2228891377017554567, -3974678752406896567],[-4872998600930593840, -2288692874010129682, 3979840651866282793, 5183428624170333676, -5185615777108835276],[-8945388721764095173, 4596826051007511350, -2166446503907585132, -2038186937252197003, -7932306955376427778],[-8906950765261390538, -7048937952111408895, -7057847195846778436, -7397421266653330314, 5495792510977217166]]","[[4239373504695062152, -339208569476654319, 1145290144332900276, -19811607478028578, 8285841623179830302],[907537506413312938, -6487534794774637087, -1552670458182528618, 116835224887094743, -8316494241402550091],[7456975844712084879, -8290344393478230285, -8004063415349267366, 1622730961961318365, -9144750041662599018],[2375724553206089164, 8258147917486876707, -1396172322788395814, 4304006039928863166, -2703335021125670945],[4091793623254051492, 2903915691538887012, 1351262860810601974, 3716521675349391424, -388399738166863711]]"
values_93,8,"[[-5439834769154411215, -3486366679083716228, 1397996116993730928, 7442081425890798530, 3455531560708988017, -5328270920403952327, 1994734989853717330, -7303486090640411599],[-7439810416887015932, -2225348847174471485, -5702122899848939930, 8243551627060727564, -848931210895058888, 8124837864177864674, -1924283448861079328, -1520376894831693799],[6570413573584790438, 7278475718114864093, 7158733635056709458, 5856379360549260667, -1909927312876247012, -8666382215778549615, -6673753338370081487, -5257667554120617672],[-764648186306681229, -4709182761090865441, -6228781997586211668, -3369829875108170860, 2137087508896599116, 104590403580931809, -3966505748113923450, -9136224888360193769],[-5313160383970657504, 3933953488393075359, 65136997973043906, -4947628185100577721, 7551182551977647962, -7510915641377755453, -6480610483759329000, -6415573769097266098],[-136741026801587284, 5281758214564386767, 479521311178640855, -8015638034993129381, -1877994238884707942, -4716494258532598562, -8469232693619050719, -3485935847039936918],[-4761510510319705577, -5736459907712246550, -4401202369300345566, -3126990213458761068, -7900066866141524681, -8406352435118264662, 1818702610179186524, 2411580107339540048],[-1165598685755266437, -2653490598504685519, -5252567010333792651, -4822023934232867747, -4642499356640443975, 9190661641392737656, 1098849625208720662, 6048777500818288451]]","[[7484641324188208547, -6191836125919662377, -5111915584523364387, -5277454943639580670, 8387658528566783914, -4253581350570435715, 6390504705038082592, -3162716835143193549],[8152537245332071742, 141733424214310161, 2356674379546230707, -2938010606431165100, -7232048425262811042, 5427781599828195471, -5802729364453165815, 4499503115324800591],[1894415886911671673, -1807695291349773603, 727776697607417625, -1955955393298441149, -2008133956474616746, 5164737620768680644, 3500619540248229137, 6304487879924439803],[-1252531665564898256, -7019235054135039210, -8734648113749286535, 4260812535306878688, -4002689548283627952, -1379058977300200697, -5787603493910547975, 950172670491109101],[-920882489408708369, 3004727866263531171, 6821026173539554040, 234606570789915817, 7259643517326152959, -4583048708351714641, 6045730014279434480, 4319462957475548298],[7977495596877910045, -1013200692225320401, -2731347241155746650, 8320478728946816352, -4155811878058938167, 1478013925473823839, -4276635036325769284, -3195584128895016449],[3794042981191500594, 6571075802210763211, -6473669620213199739, -4710094427418992082, 4969224643692646745, -8431811834225133501, -1664435225706980181, -7874740142356683263],[-6485848914401035251, 6587780421415188206, 7924464535303972029, -7324369012248207871, -1900887855617308289, 6383475466051610910, 325709052418633709, 2571110673469067249]]"
values_24,4,"[[-179006496057513416, 4120728231885390748, 5042072734433246580, 6024588375090717380],[-93408525111956927, -6983349971190750337, 8737483113082022542, -1431870056043488747],[181718411765087329, 2925010193502428125, -1582182014364840593, -3701830625620300195],[-4827297104803097982, -2582553610072745294, -2708661862168847648, -921480841834864343]]","[[1365440822391936122, -7082301523976576167, -9192663577663616599, 5323250779265648508],[-1288045171854661789, 4102153791490227970, 5637953403398256616, 1065099129324809673],[-3636435695650394234, 8627191667237585413, -3626758683440799039, -5414779516472300882],[2100160557289506809, 3967947482849484390, 3973320437723085663, 6711471152595063498]]"
values_25,2,"[[3759198380827852407, -5491232357472180366],[-2022820484237167097, -2283291134507230998]]","[[-8285171710368005994, -1243969917162218894],[-579908452148936502, 881654318809997314]]"
values_26,5,"[[-556488973024768426, -2840675452517422042, 4236508543071222396, 4184217600593381532, -5204952332816684225],[6133645306491242852, 583596045586958432, -7134965617578144548, 9211401969180022593, 4060230961950215761],[5463392945627806858, 610909487608414610, -2229003948616694157, 4149088079963938705, -3562382200476388875],[-8049477824717104321, 5663492704427874364, 3526575213932654648, 7052614151468765981, -2174947113718094154],[-3765967277475456376, -8178964746874968897, 3815761442576964498, 3680535672537140673, 6908688666369244917]]","[[-6705032283343738908, -8165553469214897579, -1442210936461785636, 2671148274999445015, 1776242301537892924],[-4332815839243426344, 3015713817399939762, -8252609867503559822, 7738032322835540196, -3088086367285679021],[-5638653531019500088, 370201857172882746, -8466310053571537768, -6691715878842866249, 7931830151391584672],[6787030729067371338, -986157691943120259, -3067213875256713843, 2681685170177182759, 4405931170357362441],[-3001359713794995568, 1670171460484283793, 6382296483091859046, -2479874154848009217, -2468365304117134511]]"
values_48,4,"[[6253434582811841883, -5517019601912457858, -949755370628759048, -6434816571842117751],[7877058856798299245, -2412955244821973814, -8969356957734332337, -2739136246541143595],[-5379428931799908529, 2740792126449344762, 6177009012435414554, -10771194713547691],[-1370113330242219557, -1502306931773867483, 7098026458890517575, -4315665214341478786]]","[[-3914340218318780149, -1433843397459019392, -1532215017753251732, 697338864524386412],[8949693914395746219, 4722019964392438205, 1053515830397373729, -1470100661175053668],[-1153044829050009564, 204862254975100746, 8058647102938102963, -7351480698943743164],[-2431170951879542100, 5406650750966704382, 2347962153805092490, 1844229986244151456]]"
values_71,3,"[[-3327549544259047853, 2188370910498161355, 5255111895649510640],[4861289730202060452, 859365813069610901, -2114021299628902421],[-6669621651107767450, 8762868104529986794, 5708824032634068827]]","[[-2506459381944740643, 8790614172459984954, 5877591099511265050],[7977001097880762098, 8687861564225515656, -4402918834291679997],[549953191757290885, 7326199572255914583, 7613452544461805542]]"
