inputName,size,arr[size]
values_93,28,"{7457646061993109203, -525206667438914884, -1436093640426727542, -8741591567717349934, 311674880568545670, -5130759733640970262, 3856065590067308554, 590032701947399750, -8581356113027215102, 3807215428313534959, 6346017885499313350, -5817275983497217961, 70169664422211721, -6997247978907287419, -3991894976339561011, -7524773635438073256, 1070524500036464245, -8872316414900941381, 5349576333781846596, 4218769083756635557, -1528966136402721589, -4931567430684083979, -671652879009506181, 4569329710119664196, -2172055382738808404, -353029610563536037, -1936792420664508424, 343031847996941012"
values_24,10,"{4018955454619589386, 7286082292955840926, -349850549792951220, 1992461658437847037, -5248048562696402602, -2877614211225761163, -9061217841471143572, 3946968498384439648, -4592208567985380439, -6678584601324416674"
values_25,10,"{-1875654781457926519, -8391935581173625252, -7122944158525687832, 5807353034625384232, 4785681759858909937, 2709993661110106086, -6492247836638710417, 8835032309005563460, 1429781274286329421, 860447457322044820"
values_26,4,"{6338069730576136427, 7402218029087809925, -8957670455700836476, 230243270920213597"
values_48,5,"{1529121936311551929, 6234426791081095875, -6142922834062990760, 7146166030223465564, 2543504453700719530"
values_71,2,"{-6784779749704289503, 6104334893067131079"
values_76,6,"{8618209582720296738, -8662952424279423810, 8439634881781607189, 5569830817832248255, 2925287675832974938, 2348523898428654056"
values_7,9,"{7061510419125192427, 8488019446138383604, -7030654854034965810, -6115567284495530591, -1547294609396141448, -2468353447372441524, 7436761220559700502, -8836880157500154974, -8108518174331900734"
values_50,8,"{-5575078658620228358, -3304658236662163273, 3406650351705579495, 3679990546007979401, -8981936164590961760, 6720856482815679137, -7656893489495580687, -1457274616964312510"
values_22,32,"{7459579140010593804, 5843874495579916827, -4916409059806967638, 5963845318665407382, -8922592271856322068, 4161074034880411290, -1416465331110119091, -6016968281125483431, 2551598612172893997, 5195193541503841846, -6397323518060163573, 962988719681041766, 2761755983209266620, 2934318793599265508, 5135860922802720204, -7282505219996643038, 3632035022352234349, -6015007841846058913, 5369612020267294190, -8311643459752082427, 7165932079258628050, 1639968954964119060, -9172721193343323206, 1244757495848412090, -3519238138797422944, -5911157364971206045, 924817150595568572, -7533254697742294175, -7699533348452974530, 4317377030504462405, -2879149343811553376, -5624996584825809965"
values_4,7,"{6464010042356316338, 3339064788884542699, -9057632293035491146, -1891082920255803025, -4087398625381544027, 817924749145294842, -7258608795971225918"
values_32,31,"{-1354826629710334322, -2090183203266669690, -5037662371903526632, 837939401120920484, 379597683087947392, 5141297858285157058, 7206059409704387205, 2697620816839107205, -2871594164931210815, 8445043118532141117, 6720906230451601277, -3302913978728083347, -3865664801029948458, 4052148689689249981, -640848563507184776, -4361722986991164299, -8761956413493020071, -7700108127478231618, 1064299973934176850, 8281588919663542152, -2696686463326029486, 4828823681127130617, 2949439872049968863, 6532038669110853340, 5304766311121375855, 7509336520579646321, 5749505532065678318, 3443192496777028721, 5867745009449371916, -7856707754743034856, 1889955329554876890"
values_77,27,"{5226832565650964519, -3313079742441716559, 722553215605138605, -4007315200984313992, -3565033176223984887, -4170728466549306617, -931663562937324841, 1806681570246469699, -8817405270051600711, 4150018854291278683, 1021953014072090344, 3276869249770322005, -3541029129258929559, 3126857417634516988, 1037469128829149118, -63134444286311808, -3166737071953508546, -7544558523681151991, -1325907975329755821, 5522754793823025658, 5989337033279873963, 8042697935199703776, -1259255144863719062, -1867134828738940595, -2225798857562244159, -7461908876054562693, -1840076251724600766"
values_91,4,"{3747852042783023263, 2233008334563972853, 6711132246726778421, 7474509937337903814"
values_42,28,"{-1433965718664857907, 8933163299282801020, 5334241704817447844, -4741642656509609635, 6203062235122419595, -716623534890190035, -7321778808034290808, -5585851555713862792, -5869798663717914319, 75883628264260608, 8687323935223362927, 7655338379485884787, 534220149365994252, -5578378868761228548, -5098679306684850068, 4549948598609209065, 5254020930068426128, 3132368509667735248, -283785932442950661, -1279129853013291460, 6475821173152639529, 7910947113707123531, 5582859900385740434, -8512095130547213498, 6092723882429281355, -3093578971649551920, 8017168085266147992, 2131775234733169700"
values_13,30,"{3785772065998779461, 3746240197286454735, -7278920653873838946, 3876660441640320850, 6246605205960812054, -8523151959136817950, -3137936851463053128, -8969157834650357799, 1104283133045825844, 3905961599166094290, 3383322233359111759, 8477340962755021276, -9161920525249523443, -762935183097174933, -4167029511979965847, -7330887719875722165, -6445294856328985263, 5843621523301159941, 4314347832952433006, 2149107947215364000, -5388426986800257008, 8377096130655491067, 4955796546091714282, -7855329177215260225, -428479254728213373, 8625532330900695996, -2425403120956064971, 4022799009006170956, -2630285251060743712, -1173613791530382317"
values_41,15,"{3303639327811766228, 2046200058452655292, -7721311931669474313, -3159630383677684370, -1170575925204442181, -668352125101574047, -1361657937420490827, -1469082295474467095, 1243805940867941599, -7374030111354658502, 7378539795989423063, -2362983660228243391, -6664568023329777199, -5829701580015105767, 4409068193076946734"
values_55,29,"{1586518239706208249, 1936390632542904757, -894582878982725907, -6800870005355712893, 6754628340505738682, 7573594315355988357, -7669729125866327248, -1921036245118598633, -1655560355829306355, -1577571928865682789, 5042332460901637613, -86277846329198051, 121888971563967154, -1585843081358039309, 4445034014527749413, -650089769275481040, 3573349316114432781, 8081067238763214014, 347700604095063344, -5370029945844134471, -5978786504189486114, -7735712277608585647, 7385989876108707115, -1606129932882532418, 1560521011357348815, 9172200962907052128, -4914893751546062388, -7643167532246845317, 4024023549445521422"
values_31,28,"{-5941446032001271945, -2825278802231588512, 2351605611691192443, 1415941705538461494, 8734226171833105618, 6772321761528234176, 8834008062591276597, 8017092598226255441, -3968462692185481587, 7865306819322202790, 4457490764654175275, -3854105953339477103, 3606438038141380925, 3037194261889596262, -1050526138567194686, 8035072569084072793, -1943949817452836092, -311251232542872133, 5580631051369009735, -8867545478000132897, 750718793391852966, -2806393718200823675, -2156835495137860743, -8506534545684311418, 6725478232538344955, -135056185796779246, -7425535686842427720, -6498050051996674140"
values_66,26,"{8382480698221273249, 8003358764986046409, 5494470535284716355, -6241732027222003098, 6209126824293892822, -3930928904495662534, 4453069899168460280, 7868396589215953236, -6380321605592212198, 6396685713909656450, -1622390643695248116, 2621008157323142428, -5700984711073727408, 223807906555387992, 5838002543390104334, -5062674360058523044, 4945707114711803988, 4994676134273232472, -1174028382890300641, -5948319556825106761, -2092342644958115465, 8657959836239994072, 7563772947473049007, 1215732607153400077, -4726569333450062251, -1878338898242538110"
values_65,20,"{-1353542109013131880, -335445094478378899, -5566178373970785043, -5601947463697366260, -5354666051170779481, -9043360756534876152, -963685318422945994, 4817852705326676131, 4985864387560387716, -4439193960866471762, -818966910589420976, 5549879054919665582, 7769450103477803936, -5613642536055140500, 2517604665965140445, 1675681652495038921, 2761037970950088407, 4329168154263497533, 8464892792023032004, -7997002546033758994"
values_62,15,"{-5225651551834260556, 1812114984473166444, -3497779001579259503, -7577608009237223921, -3122721646213536102, -8335761008094619191, -8841484868261731690, 837095097315497971, -1282793211285987591, -5144003934159468117, -3176747736807667416, -2586765975915818383, -4321614936309028296, -2264793894272666828, -5398853877638510723"
values_21,25,"{2504167252164742974, -4917231556532689236, 1381085323020535328, 3316207209302848133, 9157512672068529980, -2160595994864617376, 3482097023896577524, -7446535642241000623, -3325217967669007602, 8453543076553163365, 7345910163837052950, -173404848023906683, -5756780622947938938, -6234600487782936657, -8728089385906118014, -8115877158410071008, 4539459455672808478, -5346886511969817389, 9067053075297688549, 5688524925634512762, -7932535699825822687, -5801697015135557658, 987503148676951522, -7488926657191172135, 4370079870210047140"
values_95,14,"{-7652538894505973937, 2866383981878188075, 8635177329476747467, 7311798723375020118, 515605453962755713, 9184258345959853547, -3782772211764235129, -4449870629147267410, -4300214049809670790, 3968260492161331268, -4965400996907262572, -1055757254993340421, 50048010708806030, -8105009720364959231"
values_84,2,"{2945921556002125277, 3454104613099889509"
values_58,13,"{65347876611394105, 5965906634456403108, 296796808801524120, -6193822565581030892, -8465416429534156098, -5816314431911214179, -8347327936788870493, -5778184997852661029, -9207830664398881448, -4349162976799718310, -4942872785014005219, -7482821419869529609, -3596249550217009115"
values_64,15,"{-9211042235569837749, 3027379980376487237, 5794138646201638015, -6794651995228491895, -384462845624319260, 9140885692854747875, -4487987480730147771, 2311850555981241324, -6096192361795179296, 8094581530226509230, -8336878205539851223, 2398712745207449574, 5726364286571105267, 6677391710266018564, -707180776679977221"
values_83,27,"{-1542186252206636441, -2530876274016587059, 3562965923290704497, -4209716371869266279, -8374666014646629566, -5615936062701314157, -2124058542542405291, -3280443814568871513, 9089582115559319007, 6171633355496049873, -1413121182528294963, 8714171807231452610, 5346832762767917733, -7811808840353362411, 3960711175053545401, -5269698656482529507, 8008965536129758884, -7331927445331409622, 7674460490877394347, -5285374279417076610, -3709345176992013548, -156947732540537197, 8354177348961024783, -4537411915566777581, 2201855860119263249, 1671173479066200796, -805044253104510120"
values_94,27,"{4674095081497940257, -6327154898191066810, -8632286793311337490, 1685500516138425790, 3131273099537210277, -8049902887502223185, 869265941687740497, 8317163855032848734, -3466977629158490074, -8166588301805625708, 1523288007589847670, -7959261842661956708, -8006773315247143067, 6005840207883205104, -1862365155820001493, -4713455491068442672, 5005581711824824681, -2154552213030993968, -7476859081180443572, -7078903239378653617, 4828624999945768101, 6274029841578519454, 3563906862947524105, 6036055684972866330, -3080998922241039434, 8800606258405810863, 6624163529427855484"
values_0,2,"{-4930531678468385645, 6574298233941839011"
values_99,8,"{7229372970978475802, 5917309449442954828, 1072618295046258342, 150938586308278378, 5320103713471745437, 4246386397800128146, 8770277069943678921, 5841467658636853836"
values_96,26,"{-5838676945870875256, 2262780500392103235, 7493555480417204167, -6606298261948328408, 4428896387489399137, -9153025385546819727, 8594823452833317718, 2950329172935765151, 5319693263231136526, -6159531467955950119, -8467907909183495254, -1413615330852758472, 2346176212090746192, -5931172300422090637, -905560574408668014, -4751985848059732179, 3096391555758001402, -1739268138505595341, 1591043385983669946, -3173436885301497284, 803089050314391405, -7368097308612748003, -8678967544900554968, 4896547778341068103, 155570256257870854, 2366679685852005677"
values_67,18,"{-1293237324729629537, -6047244514822532545, 3958964212471253049, -2770273166793270959, 9133175767602818924, -8407896409984276985, -3369842267622336495, 9125719254142050786, 5592027471887165519, -2133926426290672273, -406342506863634563, -2231073074721764621, 1720952133377959553, -6016347965098883237, 126155397312735775, 3976541826804189680, 7307585705390912441, -4598424030558218920"
values_61,9,"{3833871122847411451, -6415180463232579626, -772874372756223188, 1335420536761678889, -5609974607419444152, -6631587915854879927, -6369846732761413452, 1834361270905057790, -1687571164614473490"
values_43,12,"{-9058702858327468966, -127904191002634906, 2385533955545369029, 1822757686331645523, 6007672974748756237, 7635565243804639557, -3490967183628645224, -1878577383108871224, -150069322419760979, 1050870591797952306, 1425090374915977012, -3851673204978137255"
values_2,19,"{8353422724429728618, 6065940882773990416, 6972647803474861563, 3947965352537182336, 316953548647030114, -4316830196752864983, -1742870500163821970, -8194617226046230676, -1252828362487412926, -4801562214597571640, 776253134470744611, 4901012494100973267, 9173635877286371663, 566195760888380815, -502514846193278946, -8200273991936883802, -6180040973768663016, 65960490120764034, 5131357764725104518"
values_54,18,"{5329266360719949431, -7880514942424218490, -9094316846217659195, 7804466321877158171, -891670055819763641, -6518069785776281803, -2136498838987408996, -3534135548070692289, 4065687494628116703, -4341704036305941340, 3656100697685970725, 2377190254318012970, -355866402665076777, 4388350539084379319, -3811634153050293568, -839206344822441647, -2430909188090260006, -1225574710834475013"
values_30,19,"{3436987862069383447, -8838991623121877652, 9169821319028428286, 707944785628251507, 6831772272361269889, 4585791735393925232, -3176474803839435542, 6017623067019350498, 5941125092538082564, -1050051969591646662, -357884588704875357, 1933011519113931869, 7167283171507779763, -8657515219766114842, 7923687892624447652, -8461438803899747653, -3941080677299100313, -3041427253595595798, -8959950153724459670"
values_59,30,"{5177573527119616543, -7899278027905060770, -4278804057308222254, 17027223741042551, 3621563079115971497, -611638628825758602, 8777078778107629830, 2906840226484645262, -2073951892517226459, 6541112964376004204, 8048027742241148817, -8748840349242133939, -803886747020349113, 1768671211039978146, -5310645424474273612, -3846178385870760992, 335818934392006451, -1823794182642076998, 5304910205144012440, -5784686092645615527, -2310816820134775029, 6218880897089993080, -9023653153251062736, 7986076561683855524, -1304162114465918971, 3362703408221411291, 4311714270541354661, -1178023683015698116, 2148180383485354212, -2560358375536837728"
values_85,21,"{-1456293094866315677, -416217691539873320, 5939743728065299780, 1246395482999426049, -7061842891278391072, 1757613815729171017, 3653441436584112036, 2662867124296076188, -215863368246673430, 7035380438002551827, -921078468712985959, 2245556506546278621, -3248225632594932395, -8526253374296599226, -4503996632726215881, 7233435677717403161, 4948075796894342198, 5983715644463046165, 7998524276214064957, 2831784331807667683, 8365898114165543825"
values_74,26,"{-8164638974453104792, -5782556074678955315, -4312949024168887661, -6940879314598369097, 5729599222148583793, 8444337200355172936, -1889539220386881399, -8864038525771082571, -4080809312330265717, -8450201035018086473, 8468469575820509387, -5691872484377425775, 8493700363933403598, -4588896372284716623, 1332100734989297048, 8060931170130587286, 5913137671544923403, -7430783676127170044, 2843147871593475338, 2239474295562224858, 2990557023858070229, -7812359261795909183, -6113373586100041079, -7126735643479061614, 4667407940186139005, 3800548137530246007"
values_90,21,"{5699529158837799880, 8428031161202353173, -6599625923757071957, -7217071976107472900, -8634451911242116972, -7813129741517123916, -2865429063956825661, -8985629360563439484, 1624557347731400766, -912203224753954215, 5331134684078750689, 6304825936917817345, -507699428508225209, -8864285665779360381, -2843081567409672616, -5109977289748970453, -4577124932577680362, 6698802885772593909, -6982200309329266529, -7343918696229798269, 2445294091441621055"
values_18,14,"{2514525739893209822, -8510871226904023080, 5670591292356357195, 4316187583336662293, -5788171252489979746, -4588534829681224530, -7381719786856709754, 1675952184142122757, -5574592871882069275, 5380621728905338788, 6960876448910495692, 5229794055504683873, -4901863669829010731, -6283496933526683606"
values_52,12,"{1967024806024055000, -4038208260834125971, 8114501028627144521, -8865063478132832645, -1449371690635185319, 9205993767500863248, 2449713594739201887, 5998374529744738466, -6228609976936597142, -4627059881505449586, 3922411796915651549, -7269036421031736287"
values_44,24,"{1814273242810557345, -6806860025567868309, -8233164813252140519, -91443294742559521, -4243337934752385111, 2033504526310541170, -2957295287259752771, 7801818178614418559, -3152670795294774886, 1092752786656462690, 2158630960394068123, -7241712624548936517, -333399242491986542, 8568122147033589272, -566777096203939581, 7928658929367249213, 7645386481662448622, -2040042012615873227, -7051498718493425525, 6453305810934015257, -4189349139722937966, -6569291314575726149, 8959245844476519313, 3253750331980407126"
values_17,28,"{4690445982303967547, 7167065816194484590, -3146857956776033423, 8898435227590078347, -6445716253009792966, -891832204086085473, 2195726136444451148, -1200292443159873157, -6863480967496726869, 4391547515105337107, -6970094451012771673, -1145870480843497614, -4115688969658998229, 7925770797887214966, 3355154584496884767, -5620424676256415858, -5962707812051246202, 7030586375097688521, 2146196071325603046, 907528659819520406, -9195212704205109454, 7862782538217537472, -7089025057193779242, 1608173029440035282, 2311626792325087245, -5641961797653677710, 5797813436112141455, 8994585869191206978"
values_36,32,"{-7007159722289011514, -1929149005034962149, -3253189928305520308, -4751558258238170481, 5159146683585591501, 2480694886365778267, 968972460540097074, -4355108427983711556, 3199062979889034076, 3764942089682069796, 1447116718656410952, -9118685436030595867, 577730841058980665, 6639051350662963788, 7358463146990889954, 5737037749395875425, -5689704773356370400, 4535409776542501347, 5906607880587034655, 2896157740232742789, 4358043018106637564, 5216417579309586900, 5655994161566292136, -3061755598558998327, -1329827813760514871, 7171392916548556813, 2455236747501849738, 6966665854899065386, 7967615396459965643, -7882993486710409297, 6947343551097965962, 4389962157181377008"
values_49,7,"{-2791995918298059823, -2071764208403295699, 1498754741325885118, 4219687472753038891, 259193941693587250, 2882388018095472362, -5450731186516229828"
values_86,5,"{1798368558986137566, -7897595232728546491, 6312062313136953734, 6589398425178777110, -6267797484884876907"
values_37,27,"{-690722105375715745, 6158046562439612101, -4815680037668841794, -2957056083676536603, 7975324630913488781, -5319232439534418796, -4628552077659071039, -8233727985588217180, 6911482468840954056, -3095385462680814872, 7196533675513322704, 6143518813967169500, 7829677450380622487, -3437386851407313925, 1758394763269918213, -6315691343658835023, -1387134808148837973, -3434680333211935917, -3555757121196258156, 8242118565789876086, 1914401673737368060, -935829944216651772, 4566770386234761431, -4793926827163019779, 862015551368305986, 4235183480077287431, -7389269440323777563"
values_56,31,"{-6918523419747949201, -2572483701408937724, -6014668572971939683, -6652720929894290592, 2631558454933101197, -1641448275156389216, 310353831150254943, 6766321196528141725, 7299629920963963485, 6351860657111375110, 1488058425819103149, -7869942986784011190, 1672287276974919267, 961357427173304674, 6291841004908054624, -2805315411027045539, 338598321631087501, 8334589624331610192, -604737613129458558, 4764425839910869624, 3732760691294333114, -8223140345959339887, 5665225555398358919, -8192623673325767021, -7282860186108128161, -7821215224902321314, -4825003501607107465, 6342767705550410074, 3888779239930931615, -7557270597058920209, 6082713067408457087"
values_63,22,"{8418979327322595813, 2253720368478390371, -8714292046124685233, -6904882287607594056, 498609454549494667, 2325848464660534963, -3855073564631742001, -8001406609200794498, 6886310512207947749, 8046506436765482614, 5603224369311702014, -2987708764412993245, -8536766204704995294, -2243935267135860517, -8618832345619304927, -421654970452442070, 3270863544197070513, 2853529884564121464, -969279640309017950, -8269828431580862956, 7769294787092721193, 674362003620191388"
values_35,2,"{7171207767819941832, 4119111422948775288"
values_97,8,"{-8082368038079818602, -6586143648788104348, 8514463309831885179, 4777169350706633973, -3632831233711095413, -3771705332097433405, 3703490872949022678, -7836439187579005260"
values_75,30,"{9096927220465429907, 173672339580865801, -7119299675174464449, 7537223416299522872, -6355716634926247750, -228018023513088152, 3919511154742730468, -8685931686538124922, -1573027580686798195, 4388260405944394755, 3568335516714591242, 1461611682955313706, 9000868776782482896, -9079796931626721713, 4823284995421078322, 6197288800115493397, 6495261729060662321, 1263965745996128273, -7496320067202405166, 4975267635851752848, -2734437746732534936, 4039076145450446656, 1429640149478214317, 3481528251336189588, -3809763970190153240, 3193515042074555041, 4212846264086591805, -8852932611745881261, 8877763426799501249, -4095377217188090300"
values_57,12,"{-7511398704750986785, 4889546318559331559, 138101059948226041, -3585778849472653656, -231429291514654681, 2472262863593431763, 4529782258012504328, -7446634487634318342, -4502338538726731961, -5888948480010986926, 7926512363854899387, 563387183015349512"
values_88,31,"{-7032828371121969902, 3572087106954767259, 4360967688989826118, 7549803939109489213, 1577830676265222643, -4595372437034660656, 2329494516948619981, -6970044259071041201, -290933988207949328, 6333820021037707124, -8958653935733587075, 5886785837335075803, 381028459422950946, -4955926277543304667, 6116496720528866547, -6846650139440387459, 731093213220003317, 532953378216676470, -3816626518103369388, -810107489846304460, 6072627954195011903, 7541639498700793060, 2053442659905349787, -18841362553058393, 2482641638187396693, -7922670142836521225, -2181769979988155958, 4331853204722381216, 8905755790930735254, 7483584439837755149, 941284002883829830"
values_10,22,"{6396091691370681710, -8612524280742830002, -5264857964883210005, 4915798191413194971, -7519179867458348804, -1293564266026526746, 1668217402318827970, 5112710085201084423, 8552822296717490833, -525833133684502623, -240715517212666162, -3938125042213082808, 3851156081135985557, -8567832771500274530, 6413756256667863382, -8304298548756282295, -2875720532508340010, -2959673255414355071, -6740004006646351203, -1251038889171786708, 2914950697052239860, -6323683085676162957"
values_53,31,"{6235239004229675339, 5397056212798286033, -4521579890763707607, 3189376777018179855, 1201021607669414588, -1730772894726453273, -7064708675024212320, -1271154766055147622, -7873011883595155659, 5868002551562255183, 1068778298016414040, -8612533950083378702, 7385082228133002115, 867968133308166983, -6937801875995724170, -6663866909230944821, 6471189199025522698, -7985870305859773906, -7825235879520989334, -6385092588634746225, -855262036952123671, 8974890812977873388, 2582398913922937407, 3119650720709510067, 7680559136430209566, -2421814920776853493, 6081484437493886573, 2386333399972407719, 6548164530894593882, -4837888828385756664, 7282216240702888514"
values_8,10,"{-8878193988166367728, -7354382805454224690, -8947489858713543685, -6467124738381917157, 6180353829368423641, -457125105760339370, 5923591346246338245, 8748125430643406066, -5018286349729272292, -6725720336050673640"
values_39,17,"{-2259779542348516505, -5195308283234519904, -3842260990617144071, 2029677441102579937, 5031065277598438483, 1098319814244788939, 6953096445657387409, 635327367319875702, 1165290287794391017, -2201791426632302373, 386439275327272074, 8755826904835353639, 2495440695893124234, 759994702381062706, 1967610518905034591, -983068586927068928, -999236595862266452"
values_47,10,"{-885623634269623773, -5811944945784956309, -2470202371263400697, 2149467129795831295, 4849220917692779543, 4901697600553430249, -1249439082195117456, -6469650007455620991, 3128364484973780680, -1964886042151600907"
values_60,6,"{-6280527270173619620, 6952783235687027996, 1158474104574828397, -4560385987550240162, -3118509638142254066, 8565237269967301201"
values_89,28,"{2451061912511301257, -6003434338634911571, -2770994243108346313, -3110646831048394657, 8095643358623844625, 4243117632250501524, 945177843628995210, 2051701114213711472, 7347817436531923541, 2878715092789365906, 3277212676409631311, 2561092036993721319, 9170355041732171821, 3320588162374694311, 2049346753164191992, -974862476631479525, -8155652970329341131, -1547273355220424224, 1334169412220830208, -6918766890903117850, 7619867020457766608, 1517187720052451153, -4956637128039464513, 2268149401612012628, -5197280876179174530, -3861200091008143325, 8324847581771774584, -3186866704500759962"
values_51,3,"{6922792860404264375, 553829284885693224, -1805102861812616203"
