inputName,nn,size,isign,data[size]
values_71,3,31,1,"{-1030594082959873098, 2532346775756039016, 4053403364723806689, 7013706234980628118, -5003620851794722952, 6751615524645766974, 3869673061522125263, -1119916448744218510, 567182808087578055, -125175012937355339, 234240014167233133, 4323124222293896934, 7703249165592791453, 8118449938923807788, 2656221655635859570, 82172005231479038, -2138097461956340522, 5442439944487866750, 6780103222277754928, -1638365227609132146, 8763317436438089559, 3593522847965200411, -4428346283149920937, -4573949772617950802, -7205682087228770936, -8017567813339207419, 1695942092898503641, 377025520523427658, -7035580498082810527, -2370858925798356101, 627976104746845997"
values_76,3,24,1,"{6383213477516142114, 1446164314566436442, 2548741765409696837, 635631592431193740, -7336276413845939243, 3447502950642847507, 8346019758992200999, -8795751824949229694, -3115457122297874032, 4523957247587363317, 585037226123444781, 3452122291337757483, -5017483438671009727, -5322589882462860269, 3754309471505914632, -5343611085356986189, -3152031728121287098, -4600556302460783656, -2047247701620819969, 8782763053674366675, 2849210185539440182, 3950687893023136654, 5672118666466781717, 7909838946513939896"
values_7,2,27,1,"{3118236375734417130, 1587315563537047407, -2184606875429943846, -7404739291349409646, 5661475791876328976, 746772912575469893, 6968661884226446172, 5896406014294793986, 3709283263690269860, -6951561413937539176, 6645149243489794100, -7278257219632880108, -3281849635962225110, -3679060401029317332, -2566054156148398679, -8096441083521545899, 8671856071232220881, -4698947729833584847, -8565311385727148298, 3860421396307790893, -952210376719657642, -6244832594871119822, 5478902373919629839, 7884202922502594609, 6084275377915453037, 8620279003177445772, 2764631564401438425"
values_50,3,18,1,"{7272254244270990012, 4330294840651291024, 2950507090781655141, -2780633343033263870, 6536392069172982661, -8119176264239982053, -4969688234580799974, -7066183489289964529, 2115072865544738894, 6950801725495712383, -756209034017909657, -4342766524112675540, 8047800741146999824, 8465428590517187899, 6041626463304426651, 7862293382863441714, 7544527355679165061, -666334143121767660"
values_22,2,31,1,"{-7697304100683702184, 7971001963336815865, 2168325442329394934, 7569260116585599210, -6825700839113563511, -7812715533495827265, -2112194688655118725, 1282037879701718750, 8745654171463647354, 4619696607564041849, 4863540351784393036, -6641582907867047179, -6161150533857318073, 6629185443086598381, 7162159840761889460, 2112540778261649994, -2145848352466314711, -3835169186432087127, 3365817966608151998, 4720745429584563737, 1031101628116321777, 8722317278196076163, -2042334736706924516, 8422091711778025475, -7469613391677090191, 4775730743676005303, -7609655194654715624, -2836740986710814201, -5395114874689430785, -3771112827400938095, 1982147462047478022"
values_4,2,21,1,"{-4934100294530177835, 6158780176472421855, -6348027472144602071, -7711984615987482088, 4692823307421733157, 12529336740438326, 7741743075965533337, 8979012505486801558, -6680697091849570490, 7517497695281450940, 5168141658499489358, 6235930547836319466, 8219278979710216410, -3561104290377754614, 3334545653727066154, 7188359337747822992, 6373237798481120042, -5570625364481101353, 1411279813015770439, -6940506703057982456, -127870910279141482"
values_32,3,31,1,"{-2381051043250392689, -1130374714959989834, -5286127255448781151, 4830000387666734687, -3239338878592060874, 7812978890394479999, 2331177719739779727, -2436286242532545496, -7053953916840203260, 1013542992288199510, 1881583987370569080, -4782530122272277434, 1759817436835090768, 4343762507585943327, 1555785112065830115, 3779083779065627236, 170772539133760821, -3426504103801740192, 5570065174560249927, 5032601310906964234, -3402526044393186196, -2997917075698876984, -4692462538379892051, -8847731339097463160, -659310794456555313, 6676231488722957334, -2195782638834353694, 9186289477067420331, 578778998772035516, -2995398536007406768, 7357873742943325770"
values_77,3,27,1,"{-5505456305363620309, 2100886085778892953, 5408215603658570901, -4129792429655700650, -6779695206259554290, 2957380220027397097, 8992210819010171238, 319619673747188061, 1090577893179844517, 1610458188227988377, 7245281649965580611, -2510303393288410947, 8590272117613693013, 6065460802159160416, -7031236069922137774, -1524319405094309644, -8292323561166403365, 8783274166292600985, -7217611036214102192, 453544173873555347, 516387723433481861, -6356346792893753692, -6932525776104621486, 3326648060870352532, -3334702308040216556, 3552266984066882366, -2601252549271948799"
values_91,2,31,1,"{2417843935465525633, 1753909547705833600, 6360545395437849532, 8138337002383163717, -7158562295726150417, -580933862266721804, -2796270001878282914, 8234114280936621364, -1731593055295462115, -4453529711995765118, -7131400041852558509, 7326773779112637350, 8314942284522357679, -1760111431525224130, 399549254985745298, 2573977657929161873, -8287892738994248204, 6439629061603350208, -2751946595149187912, -6828410267145496133, 8353437876478508815, -8255837224986798567, -5834451777324574472, -1637524825692308866, -5309118203281604782, -2353105992485483589, 6800470215052593766, -366536042187351815, 2349004575192133279, 7792326694342065459, 7046587557429042376"
values_42,2,31,1,"{-5841733150857798334, 3723380761173925479, 8399609322896798161, 592554396239853521, -6795891103454132598, -6903315321355148175, 678136251485160408, -2658072218560057921, 1752767093337237090, 8154664764359221381, -1295960318647918403, 4675717293590112257, -1826360168712382301, -4000153713734247347, 4394715907607068118, 6366790048899583848, 4460708769228816727, -7349964689844838987, 7708977008514671308, -6633772293502821439, 4060034383538071060, 4472049970400960532, 1549337910161502226, -349831853404190603, -2337246769588553846, 7584243203633244609, -328442910664236988, -5859529084274133556, -5579238728140506752, -9162850208023939689, 6841714495446750252"
values_13,4,6,1,"{7422623273277663641, -3570015119773563728, -4160291987528748711, 8392206270840512344, -8685319893905261937, -3563864137091999381"
values_41,2,31,1,"{4834732321568575665, 180697507398277564, 6336984675902138819, 8683476431150023418, 7163805818882200617, -3018349924383835222, -2105331701084732446, 7079200981936977116, -591630183681557490, -6600939208257976445, 2690888760749737288, -6262001445143068401, 2052007966491403904, -5277560418899386972, 5082270882194903448, 6391274427247427075, -6879659668343437437, -8824335231773195170, 5122677021143359340, -7027824389131606662, -8022224007241633394, -6440590268000867458, -56347670746809418, 3491834726837829663, 7101541161818747686, -3460443681334027841, -2824243604098362767, 1616080851203817249, 6184650972743205111, -3377737074600468552, 2846168900672973743"
values_55,3,29,1,"{6429647579050801930, -4188974740311632620, 3656196258221236025, -4167627276417382620, 3453667033684602585, -5491152935158429717, -4935936596685073107, -6613469128735151622, 6775542132494384465, -5926658057371841361, 803444664130073452, 2912262903904149211, 4445784707520822209, -8150124406326540276, -5142842862764057067, 4126144304035280032, 5686666812680449046, 3256197521210093355, -2099527762655688944, 2792946314169142715, 3757152234122135572, 7428614373709594118, -240684995057154520, 2562085546768068326, 5360443155750311982, 3990823592420207642, 3247009783641988480, -3993177924599286838, -3984628212356935424"
values_31,3,31,1,"{7816733211719641865, 1208603140923389283, 1485779911387165282, 6992427663875959435, 2419440410186349960, -3348246125385700061, -8655581433402552799, -1194533947630707969, 5271963045433323258, -8290293308373337268, -6963517412831363630, -472401918691218628, -5097945566928363359, 8291730628602759431, 6587917423582954040, -4892916752115056553, 7622027870002231471, -8378286436457173896, 1769584647403828061, 5199282701686491976, -9017405376018441610, 6650758135300871150, -6446979092461142508, 2548738171069173058, -992906858782949450, 6210905908036601162, 6097042044195031181, 4737773511420888740, 2927856384785239606, 5656337836775063731, -5826859173695543618"
values_66,3,24,1,"{4848665133915795304, 448716427105705322, -6088352093188620067, 6342241107946766133, -1635642452753954800, 8656209928910299985, 3089063494942400508, -6413557600516258908, -5856068200265139215, -4938121557376012370, -2601868886864151717, -8327161489836712130, -3679211491946888337, 8846842050884933163, 3815462696975844632, 4331569598682811477, -2206207260718325704, 7417531227085686533, -2576373168680732104, 3912432494980572679, 2408492108654717617, -8428097030494498393, -4937521450175144359, -6682201406249104388"
values_65,3,29,1,"{5860985969023162411, -5318020494482666623, 6045907457567972380, -3938213428769436635, -6449100163522340794, -8825507676354580625, -5760102231738238138, -3054904765921251019, -8898160540559154073, 2723112480180976297, 3618804904648276233, 2416805021752809008, -6948415305404473996, -2599621579809688306, -8728882715318448499, -4046548488042381344, -8920657474691980570, 1121222745489943412, -7808376620523181633, 2785496767570627223, -5234505980751563569, -7595867294583635125, -3314528118935905520, 7891328167400128160, 7381581262717957138, 2169874208235389840, -5578724030885809035, -4540088170783567839, 6429252057412437439"
values_62,3,31,1,"{-3110662193901252256, 6845742624942808917, 6540161747254663098, -4623556233073504248, -9061035707897006300, 4574311961137530955, 8706835773469430294, -9062654951945806154, 3006905639848820452, -806305936977725282, -7872331298110349440, 6314995443180040544, -119658045200461452, 4636866329211621427, 5054381790033747866, -6361091818501250644, -4285422275479685255, -5417489731882067963, -2748960830947931317, -1439070239634388376, -3754956236204165194, -1883805238549582031, 9096311016788301651, -1817771351721596779, -2583593695457580759, -5968235228869318070, 4381117672043278119, -4227469681717285750, 6118670191641165283, 4691473125475736475, -7600099670379522053"
values_21,2,31,1,"{8144154370995742536, -150249086400739849, 6586573287038668696, 6849467597081938331, -4830871352346742704, -7755257677243926695, -6537139601667632568, -8883394571690801986, -5763314704111739433, -2459865281031359982, -7103750565622823236, 4319942275618559665, -274327263797036579, 6066319186000930836, -3302570959041835151, 2176153045364090516, -5093504727125782696, 6220526404887414820, 7001565776841302850, 5075741100371306626, 4838695152425714980, 7283253949755727707, -1944382783056924013, 2406252889570663585, -6259872040313603105, -7453388236215987974, 4369032532123666403, -8697871177801479175, 274040404029871826, -6663570867623630524, -387059651250426073"
values_95,2,29,1,"{8252948993971065037, -836865311806906834, -5900705738335182463, 1105143458990313550, 5346187228628780978, 8775043860998234219, -9102452107539956141, -6867534914407114221, -8607907182885622746, -123732906673453172, 1328012328320922795, -6059200632725136523, 3329836691759580608, 8910741814676216692, 7274003617180675830, 7912314779668345283, 1575871051182097103, -603137860292916813, 2034351914790279838, -6295394350292015186, -1912557925836438152, 1772396435626753443, 2301502860262163629, -461318851105119261, 6586769168192221820, 8996140933302985406, -3611503489744769273, 7073873768465827085, -5568008743541657645"
values_84,2,21,1,"{-5742941827059601514, -115215081475207204, 3810672896769941644, -3524954534538966130, 7178853356906925555, -6635923172696103708, -8630192257370478764, -3218882634729080426, -6774812397201949571, 5531526205560032267, 5026169481694023530, 2274291862034248812, -3668557766417164174, -5387764077376910745, -6511286238109574454, -8379818841084832847, -4948233421515024936, 1468147693201878344, -901412339195603911, 5562786479633900697, -4269252547958952098"
values_58,3,20,1,"{-6054511496619777064, 4082599334421605197, 451592977626121589, 6237330192235227765, 3857537291858381888, -5136015483217009834, 3660959761911975749, 5580115917415422476, 4288609955885880620, -484157649128579825, -8305520451710355680, 4811920427838806039, -2840780590149996501, -3249699514608328321, 2244815711478217120, 1850100703511036609, 4723602642209490302, -6583089387037674983, -3649696160249774222, -4988613652522424708"
values_64,3,21,1,"{-6489213646903359597, -2337225144219888602, 9117769243759527048, 8967328554119186517, -9214418656103258238, 8435668296403839117, 3227292790903529726, 8401688557413991261, 2530859957516336613, -1584876819037903494, -6248141460193720176, -3070599706702165814, 7199329988777095058, -4172527863584773863, 8495049283000241139, -7448071874264109083, -2841319977360372177, 9048575041439463470, -5830521845678535381, 777627931057202833, 2920132416545931995"
values_83,2,6,1,"{5984164725354660443, -3662822544746274460, -97428104353017224, 2204230796540025428, 900813820631619503, 1105677611238435174"
values_94,2,21,1,"{6839517116023748212, 6203482944059596592, -4028717767989603667, -8019181484256883301, -42606650076113041, 6966582934101689360, -6079052739921844829, 9028111943803407344, -8949965858739275040, -8970289284038935532, -7808587838713016582, -785125326204422202, -8790798064376806784, -645698249975153565, 8395950384254089617, -6411582498345160340, 1078117173981048628, -4044158183660947799, -3366698386491151823, 5765984514165889534, 7803572153665649472"
values_0,2,18,1,"{5008668195065358403, -2241636518165780258, 2675910336598704257, -279454686353639961, -7878897272236276504, -7581699586055925950, -3839996410242070670, -5325312524867759552, 8052241991342912972, 3246856093845420474, 1394476908310692035, -8271870569414567212, 3704194700543360266, -9022300855463640174, -3385232556717057880, -6098887394255601445, -1950601018274637407, 909604044781033164"
values_99,2,29,1,"{3712756268626235907, 580908118414043944, 6933169968556694248, 5415740916801144902, 431280977085890531, -1101193567932328235, 8522323602511925548, 4309112267695027611, 8794508040027011407, -1486935228259154063, 5212296027349822891, -8355957856273725631, -3064306757197271719, 3313323605017368881, 5259701224669199911, 2971607787686537054, -1368239936333798326, 8767226899640065533, 8190845075266921146, -1160120303699952169, 6685010629027416949, -7346733860064197930, 8546313344857926738, -5071039964418998881, 2808899099643149466, 6040282890905150818, 5272028532878972888, -8378575877882738491, -7593303862679997224"
values_96,2,24,1,"{-7436132321068874664, 4659252958936507075, -7067042368971039510, 334619896132670366, -7799562550867301652, -818142507345141637, -1491765606009622194, 3070689349987401298, 5924197610937525508, 1525498655560331565, -5312447340781779748, -5980722177171661587, -6810405663966967403, -6627419611597404630, 5822920433161284293, -1435957113398372738, -1157203794764619490, 4464060508522203039, 7884716530006330307, 8743686419661623217, -624140246463102746, -4689179161887594836, -8499838535732218004, -1514570412386100588"
values_67,3,27,1,"{-3850191645191778201, 6736648034898281913, 7513929799736801366, 2713034961306983135, 8373032981728509968, 288546528801351674, 8576689317476609412, -4817117948196358442, -1901586624736346075, 6651190890044933443, -3516174767758513081, 8369529357800129144, -8545829523989082883, 1510867878737825550, -3581875991835869867, -7897923993660022067, 6440363377070003969, 5961764340820194035, 3156721014453157392, 2925960891639009670, -5677557363491976496, -6876376233318725811, 3328659354381042347, -6175621731108195207, 8605239371399516463, -8587492789349166273, -7280482256828238075"
values_61,3,31,1,"{3727445591886666381, 1745355178538116263, -3272250828536999243, 379863766306915787, -1701061627104229165, -3030046044965113132, 2841016686464396087, -6049782430170122718, -2511546976025122339, -1080799040021280235, -7870850045254860701, 1987539300761758342, 8417872553581666114, -2347334443659306571, -5996219832232969058, 8291226732673163347, -5502696778951208872, 8493186140194931993, 2851836386897063363, 146025936825850010, 7616061872079001723, 7355058097285287769, 7485999512211262574, 7597873130553387509, 5164620116252238924, -45521792574159463, 255206683148051700, 4152491537265397466, 4753059123383771694, -4727323824825123893, 7995637462116065970"
values_43,2,6,1,"{-2955108326604035094, -2721227591564816830, 5260299553747156206, 7604134479870100985, -6594157446668305741, -2011158122614901292"
values_2,2,31,1,"{9137713991537369044, -2624444885820516098, 4160219430743184965, -3959618309899232932, -5065933700758702552, 5308768606829057968, -4675676887509161771, -8565352940470945573, -1973707631157540107, -8394505922190958451, -19545254317586379, -8267644550182288527, -3414121918776614040, 5246906596364186134, -2673662688227873821, 8237070403874252500, 759513718276592612, -6396944758217684755, 4729969268051469599, -1445802444861093071, 6157857061577587127, -8732495480206219310, -5882436942771372077, -7019863824743327922, 5610544521654715131, 1870645276610239790, -5912086526581796544, -50428417184659568, -8829577473081141562, -2362489304375816122, 5062039510078456289"
values_54,3,21,1,"{197797878643953388, -5203925793630772284, 6101341332346795519, -3344020209567304747, 4508839318430205439, 422838593099025066, -7036484310852460939, 495397582165036319, 3177223848104631125, 4309789576224596819, -4713851221496615544, -734871206317831885, 583371836359664194, -257787690799101663, 1721678256759083542, -701712231656707860, -3872034038366785896, 8388529795110948142, -1670068550540000294, 274789244798425305, -831014709830154247"
values_30,3,18,1,"{-3004780563910533888, -933107832711891143, 7547759156717458216, -8575569934104835200, 5471058748535706343, -3259806994060815651, 5366010643829635793, -1670589818380717568, -804622283906559178, 5113333745837995342, -7755977912365739763, 5723646550669373591, -67942072745756957, -4776961666906619754, -5990445984497591800, -5839702951681727427, 5602735791236447598, -4752877952057271551"
values_59,3,29,1,"{-6888808373259105911, -7607255189207031562, 1858590783136765218, 3266031051200634152, -5690929177082469581, -7481047885945009000, -5119611863117931603, -6098161836491214579, 1077859545064731844, -951599846765737574, 8099214418657014929, -8803470722239416969, -5641132787687102269, 990136891783391718, 8762679732358563052, -1453861140945412279, 8517526130295746815, -6384843475301755237, 4104640514934247465, 3485729653200985075, 7526734812340120017, -8633927486560615897, 6816000510204000744, 4534313085443729413, -5098638483202136007, 1581389635602976271, -1228747480956849928, -3744685210840393309, -6208154701339864963"
values_85,2,29,1,"{4901939385798403042, -3359543583933439303, 1415035481225744121, -6005013545799014359, -5043691729941741485, -5638033067810565010, -399904226951189481, 6374900681593093121, -1011751227672861105, 6267632316226372656, -7565524278205689176, 1983823666848894116, 9188752141725696268, -1458522405843647716, 6539018058736969022, -8715828386309514948, -3414766664907109242, -7092175903071183541, -4970329134159976723, -2662074852874534668, 4834166190033376441, -5185094773825650059, 6549402488783844333, 5494752688487192040, -3985876290805569487, -7546359015711908459, 368543090916692520, 649409998185239133, 336540067475482968"
values_74,3,21,1,"{8314987201537287326, -6378175977194049181, 8675589408257652212, -3324802993621316469, 2932730066701605798, -9051206449024056175, 1938965242366107608, -3801076906725236400, 2995431819291918789, 5260941885163407459, -4879552061007772022, -4912370833142618504, 7073558226785196943, -3466544475171991286, 4323708412377513294, -4345280144944014256, 6764832384712426306, -8774055285284136655, 4727476607565985878, -5991284855068689260, 5208255624376881705"
